"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"joebiden",2020-01-08,1405252,883,5,FALSE,1405,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-08,2210779,2963,4,FALSE,2211,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-08,16647119,117152,2,TRUE,16647,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-08,424515,371,6,TRUE,425,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-09,25684272,19769,1,FALSE,25684,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-09,4054371,7787,3,FALSE,4054,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-09,1406527,1275,5,FALSE,1407,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-09,2214457,3678,4,FALSE,2214,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-09,16828324,181205,2,TRUE,16828,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-09,424953,438,6,TRUE,425,"First traces of coronavirus, dozens infected","2020-01-09 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-10,25701248,16976,1,FALSE,25701,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-10,4067067,12696,3,FALSE,4067,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-10,1407551,1024,5,FALSE,1408,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-10,2217307,2850,4,FALSE,2217,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-10,16884590,56266,2,TRUE,16885,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-10,425210,257,6,TRUE,425,"First traces of coronavirus, dozens infected","2020-01-10 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-11,25715513,14265,1,FALSE,25716,"First known death","2020-01-11 :  First known death"
"berniesanders",2020-01-11,4074151,7084,3,FALSE,4074,"First known death","2020-01-11 :  First known death"
"joebiden",2020-01-11,1408219,668,5,FALSE,1408,"First known death","2020-01-11 :  First known death"
"elizabethwarren",2020-01-11,2219011,1704,4,FALSE,2219,"First known death","2020-01-11 :  First known death"
